gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YBR197C	198	212	351	380	261
YBR198C	331	312	330	355	369
YBR199W	1330	1190	1220	1341	1298
YBR200W	226	248	352	324	347
YBR200W-A	8	13	24	28	12
YBR201C-A	1249	1176	1703	2074	1509
YBR201W	244	223	247	236	196
YBR202W	290	328	592	553	505
YBR203W	942	588	793	1233	658
YBR204C	804	585	591	718	626
YBR205W	208	216	273	228	229
YBR206W	5	2	1	1	6
YBR207W	934	964	830	967	951
YBR208C	641	556	907	1012	962
YBR209W	5	4	9	4	5
YBR210W	119	118	165	133	121
YBR211C	172	135	187	182	160
YBR212W	1777	828	1190	1574	1095
YBR213W	61	45	49	86	50
YBR214W	8131	5435	5422	6487	5783
YBR215W	306	312	314	297	301
YBR216C	274	271	284	279	265
YBR217W	94	115	96	101	109
YBR218C	3075	1635	3069	6409	2327
YBR219C	1	0	0	0	0
YBR220C	80	102	252	176	177
YBR221C	4127	3662	3417	3886	3866
YBR221W-A	112	72	64	109	74
YBR222C	4000	3101	3091	3975	3220
YBR223C	242	223	252	247	264
YBR223W-A	48	53	47	44	44
YBR224W	17	24	28	14	26
YBR225W	627	520	619	715	619
YBR226C	124	96	91	103	100
YBR227C	257	287	292	227	225
YBR228W	310	291	259	353	258
YBR229C	318	239	265	427	232
YBR230C	5780	5211	4498	6966	5601
YBR230W-A	697	507	448	528	422
YBR231C	343	302	365	353	359
YBR232C	23	21	48	39	35
YBR233W	101	89	164	133	130
YBR233W-A	65	79	126	79	96
YBR234C	914	886	1193	1000	1047
YBR235W	397	379	387	499	457
YBR236C	147	173	272	185	192
YBR237W	349	369	353	423	351
YBR238C	45	89	173	61	74
YBR239C	354	236	308	438	221
YBR240C	452	345	487	590	375
YBR241C	5011	2627	2269	4099	2578
YBR242W	538	407	525	1057	478
YBR243C	95	128	208	157	179
YBR244W	58	74	67	61	83
YBR245C	211	203	271	193	254
YBR246W	140	165	243	135	201
YBR247C	91	149	197	103	169
YBR248C	359	219	352	779	240
YBR249C	2225	1496	3117	6573	2082
